Agecls,Ring,C treat,Campaign,CampaignNo,N_treeRows,Anet,Ci-Anet,Ca-Anet,T-Anet
old,1,+C,Feb_2013,2,3,31.6,400.1666667,541.1116667,27.925
old,2,0C,Feb_2013,2,3,23.8,280.5,389.0683333,28.02166667
old,3,0C,Feb_2013,2,3,28.4,290.1666667,387.815,27.915
old,4,+C,Feb_2013,2,3,28.26666667,372.8333333,540.9161111,28.09833333
old,5,+C,Feb_2013,2,3,28.8,372.5,539.0883333,27.80333333
old,6,0C,Feb_2013,2,3,26.55,276.5555556,388.94,28.05944444
old,1,+C,May_2013,3,4,25.6875,381.125,544.065,22.19625
old,2,0C,May_2013,3,3,23.9,256,387.69,21.48666667
old,3,0C,May_2013,3,5,22.96,273.7,386.03,21.905
old,4,+C,May_2013,3,3,28.23333333,382,539.5166667,22.02
old,5,+C,May_2013,3,3,24.63333333,403,541.1,21.95333333
old,6,0C,May_2013,3,3,22.18333333,292.5,388.1083333,22.15333333
old,1,+C,Sep_2013,4,3,18.03333333,337.4444444,547.775,22.385
old,2,0C,Sep_2013,4,3,15.18333333,240.8333333,395.8033333,22.41666667
old,3,0C,Sep_2013,4,3,17.65,244,393.5883333,22.67333333
old,4,+C,Sep_2013,4,4,24.1875,372.625,542.62625,22.2375
old,5,+C,Sep_2013,4,2,19.2,343,547.7175,22.1675
old,6,0C,Sep_2013,4,3,19.5,285,391.3466667,21.78666667
old,1,+C,Nov_2013,5,3,21.68333333,366.8333333,547.6666667,26.47666667
old,2,0C,Nov_2013,5,3,19.26666667,287.4444444,392.315,26.24333333
old,3,0C,Nov_2013,5,3,17.71666667,244.5,395.0033333,26.80833333
old,4,+C,Nov_2013,5,3,20.61666667,347.6666667,545.7966667,26.38
old,5,+C,Nov_2013,5,3,23.18333333,370.1666667,547.0116667,26.09666667
old,6,0C,Nov_2013,5,3,21,280.1666667,389.0833333,26.04333333
new,1,+C,Feb_2014,6,3,22.16666667,273.3333333,546.1083333,30.19666667
new,2,0C,Feb_2014,6,3,13.65,176.0555556,397.6122222,29.99666667
new,3,0C,Feb_2014,6,3,16.56666667,193.6666667,394.9,30.34333333
new,4,+C,Feb_2014,6,3,18.68333333,271.5,543.8666667,30.29833333
new,5,+C,Feb_2014,6,3,21.31666667,275.3333333,544.3283333,30.07
new,6,0C,Feb_2014,6,3,17.68333333,206.6666667,392.8666667,30.17166667
old,1,+C,May_2014,7,3,24.06666667,405.5,549.1066667,23.35
old,2,0C,May_2014,7,3,21.05,307,394.8916667,22.97833333
old,3,0C,May_2014,7,3,19.01666667,270.8333333,395.7283333,23.38166667
old,4,+C,May_2014,7,3,25.35,410.8333333,544.5383333,22.22333333
old,5,+C,May_2014,7,3,24.63333333,357.6666667,545.5533333,22.77666667
old,6,0C,May_2014,7,3,19.73333333,266,393.4216667,22.54666667
old,1,+C,Oct_2014,8,3,21.38333333,377,549.625,23.96833333
old,2,0C,Oct_2014,8,3,17.01666667,289.1666667,390.3633333,23.62833333
old,3,0C,Oct_2014,8,3,16.55,199.8333333,397.6,24.325
old,4,+C,Oct_2014,8,3,19.8,327,548.7766667,24.39666667
old,5,+C,Oct_2014,8,3,20.88333333,325.3333333,548.4616667,24.32
old,6,0C,Oct_2014,8,3,19.96666667,274.3333333,394.3816667,23.825
new,1,+C,Feb_2015,9,2,26,381.5,546.02,28.53
new,2,0C,Feb_2015,9,3,20.46666667,299.3333333,395.32,28.03
new,3,0C,Feb_2015,9,3,20.66666667,269.6666667,394.3366667,28.06666667
new,4,+C,Feb_2015,9,3,24.83333333,383.6666667,543.69,27.89333333
new,5,+C,Feb_2015,9,3,24.73333333,352,544.4333333,27.57333333
new,6,0C,Feb_2015,9,3,20.9,250.3333333,395.45,28.09666667
old,1,+C,Apr_2015,10,3,24.45,398.6666667,546.3366667,24.485
old,2,0C,Apr_2015,10,3,21.68333333,292.8333333,394.6766667,23.83833333
old,3,0C,Apr_2015,10,3,20.98333333,277.5,393.8933333,24.01333333
old,4,+C,Apr_2015,10,3,25.08333333,420.5,546.7666667,24.405
old,5,+C,Apr_2015,10,3,29.21666667,416.3333333,543.2566667,24.985
old,6,0C,Apr_2015,10,3,17.08333333,231.3333333,398.0033333,26.65666667
new,1,+C,Feb_2016,12,3,21.36666667,302.1666667,545.96,26.81333333
new,2,0C,Feb_2016,12,4,19.05,241.375,396.12375,26.80375
new,3,0C,Feb_2016,12,3,19.28333333,228.1666667,396.9916667,26.635
new,4,+C,Feb_2016,12,3,18.31666667,332.3333333,545.61,26.68333333
new,5,+C,Feb_2016,12,3,22.76666667,364.5,545.6666667,27.215
new,6,0C,Feb_2016,12,3,16.78333333,234.8333333,396.6516667,26.68333333
