student,siblings_no,text_prowess,facebook,instagram,snapchat,late_perc,merperson_potential,traveler,clumsiness,sleep_hrs,tv_min,icecream_no,pain_tolerance
1,4,10,1,1,1,33,30,3,0,8,120,4,3
2,2,40,10,40,40,0,30,8,200,6,60,10,3
3,1,100,4,1,7,0,25,9,15,8.5,30,1,2
4,2,20,3,7,20,0,45,6,40,6,240,3,4
5,1,20,3,3,10,0,60,4,30,7,0,7,8
6,,,,,,,,,,,,,
7,3,15,3,0,5,40,40,17,100,7,30,3,1
8,,,,,,,,,,,,,
9,1,30,2,4,6,0,30,9,15,8,180,4,6
10,2,20,0,0,50,0,15,10,100,7,500,3,5
11,2,30,2,10,5,0.166666667,30,3,50,8,120,2,7
12,2,20,1,2,10,0,60,10,10000,7,1000,14,5
13,,,,,,,,,,,,,
14,2,6,6,2,0,0,45,2,100,8,120,4,2
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
